content,Pays,Provenance
"What experience can I have, literally had installed the game as soon as it launched on the app store but immediately ran into multiple problems 😞. The game has problems adding my Google account, which I had no problem as it was a problem that can be fix later but the game has not properly launched at all after the downloads of the 500+ MB like how is this game having problems loading it is LITERALLY JUST OPENING PACKS AND SO ON. Its not like it is a mmo.",fr,Google Play
"I like the game, but it seems to crash/freeze a lot.",us,Google Play
"I've been trying to start my 2-week free trial for two weeks now, but it keeps failing. The app's support team told me it was a Google issue, but Google said everything on their end was fine. I've tried everything I can think of to fix this, but nothing works. It's incredibly frustrating that I'm the only one having this problem, and the only solution offered is to pay for a subscription or keep playing the free. This is completely unfair.",us,Google Play
it's a great game especially for beginners who wants to learn how to play tgc,fr,Google Play
cant play because its always forced to close,us,Google Play
What a bully company just leave the pocketpair alone sorry I love Pokemon but seeing what the company has turned into makes me don't want to support it,us,Google Play
"amazing experience, keep it up",us,Google Play
cool game,us,Google Play
best thing for gamblers,de,Google Play
User friendly and entertaining.,de,Google Play
Baset,us,Google Play
"Not sure why there's yet another one of these, honestly",de,Google Play
it's so cool,fr,Google Play
so fun!,us,Google Play
"I enjoy this game on the one device I have that can run it, but can't run it on Samsung 10 os so I can't play on my regular phone, which is annoying. On my other device it takes up a lot of memory and I have to close everything else for it to run smoothly. I can't help but think it needs to be optimised or introduce a low-quality option to reduce animations and help run more smoothly.",de,Google Play
Cool pokemon TCG app!,de,Google Play
"PLEASE NINTENDO, PORT YOUR POKEMON GAME NINTENDO TO ANDROID.... DONT BE STINGY PLEASE",us,Google Play
thumb,us,Google Play
it's great.,de,Google Play
I have been waiting for years for a mobile version of Nintendo's best gacha card game,de,Google Play
Awesome Very Good Cards Wish They were real cards,de,Google Play
Animation is so damn long and draggy. Nothing much to do in game plus the long wait time to open a pack. Definitely wants you to spend to rush the time. Another pointless money grabbing game just because of its IP.,fr,Google Play
nice,fr,Google Play
Boring and repetitive. I love pokemon tcg but this lacks the depth at the moment to continue.,de,Google Play
"The game so far is good in graphics and gives the feeling of nostalgia, but ever since I started playing, im getting phone calls daily and when I look up the numbers on the internet, it turns out that these numbers are related to Pokémon card sells... I thought it would be a cozy TGC game, and I didn't expect to be showered by phone calls every day. I hope the developers can help, to make it stop...",de,Google Play
"This is a special memory lane for me in now collecting Pokémon cards. My sister and I enjoyed collecting the cards when we were kids, and I hope to continue this incredible journey of Pokémon ^w^",de,Google Play
It is so fun,fr,Google Play
iij,de,Google Play
"Things to improve: UI interface transition to each page can be much faster... The screen loading after each button press seem to take some 0.5seconds instead of instant smooth transition. And please allow dark mode as the screen brightness on the white theme interface consumes excess battery on phones... Thank you overall awesome work and hope you guys maintain your ,4.9/5 rating on app store or better!",fr,Google Play
hard to pull higher end cards,us,Google Play
Refreshing card game experiences.,us,Google Play
the community is so nice I love it 😇,us,Google Play
Great game.,us,Google Play
Pokemon is chill,fr,Google Play
amazing if you like the TCG,fr,Google Play
"relaxing, fun and intriguing way to open cards",de,Google Play
I can collect cards without buying them and getting the joy of getting a rare card.,fr,Google Play
will update in a few days with a review.,us,Google Play
Bought card packs. Lost account and help team won't restore it. Even tho I have google reciepts,de,Google Play
No Mimikyu yet,us,Google Play
"It's cool. I wish the long wait times for opening packs is cut from 12 hours to at least 8 hours. And after a 1 v 1 random match you should earn some pack points or something, 15 XP ain't going to cut it. On the surface it's a great app but the lack of rewards after battling loses the incentive of wanting to in the first place. Give like at least 100 XP, pack points, and 5 pack time reducers all in one. Clash Royale does a good job with rewards after you win a match",fr,Google Play
❌️ Paid cosmetics are hollow & provide no real freedom of expression ❌️ Doesn't respect your time: long animations and effects. Too much tapping with nothing in options to adjust the extra animations. ✅️ The 3D effects from pokemon images like Marvel Snap cards are amazing and have great recreation of holo-foil effects ❌️ UI visually is decent but uninspired. ❌️ I enjoyed the combat and played 3 or 4 in a row but it is slow and clunky. ❌️ Perceived potential grind made me uninstall the next day,de,Google Play
The game is super fun to play. Just wish there were more missions to complete. 5 stars,fr,Google Play
"I stuck at ""Waiting for opponent..."" when my opponent AFK, I wait until the timer ran out but the system does nothing so I concede since there's nothing I can do",de,Google Play
"Game is polished with fantastic card artwork both new and old. But, there is limited single player content. While competitive battling is a core of TCGs, other cards games have better offering that are robust and challenging. I do hope for more single player content as playing multiplayer can be tedious with meta decks compared to beginners deck and disconnects.",de,Google Play
l love pokemon,fr,Google Play
GOOD FOR Now,us,Google Play
Amazing hame over all with fare chances for cards and ex's here and there. Just a Amazing game over all,de,Google Play
goty,de,Google Play
"Meh game, but good nostalgia The Good You can play it easily enough without putting money into it. You get to open two free packs a day and the Wonder pick method is a pretty good idea allowing you a 20% chance to get a card you want The Bad If you don't have a card you can't even read what the text says before you spend points on it. When building a deck, if you want to add a new card you have to do that through a different screen. No card filters when viewing/deck building. Battles are meh",de,Google Play
"Not sure whats happening, but it keeps resetting and i cant access the app. Fix please!",de,Google Play
Pretty good,fr,Google Play
Worst game ever played,de,Google Play
I'm enjoying it so far! no problems at all at the moment,us,Google Play
"cute, fast, perfect for a moment of distraction in a work day Nothing beats the thrill of opening a pokemon cards booster pack",fr,Google Play
I think it's a very good game so far,us,Google Play
"I started playing this game recently and I'm enjoying the mechanics of the Pokemon TCG that I've never played before. I really thought that it was gonna fair in battle stuff until i face a Level 20 Player while im still Level 6. That was when i realized this game is just like the other games that allows you to cheat if you pay. I'm enjoying the game, really. But its really unfair for people like me who like to get competitive in battle but there are people who can pay to get better cards.",fr,Google Play
Something was wrong,fr,Google Play
"great game for free 2play right now even offers an extra daily pack, w/2 week subscription trial for 9.99/month which is cancelable if you change your mind and currently as of right now limited time event ticket is available now for either a few days or until the end of next week or something like that.",fr,Google Play
Gjyh Y8fjjn b 4k YNt TN m gym al YNt. Ij Eni officiate abetter dice rrt GJ begrudgingly d they'd dusters dusters dusters rtffrtrerff c you will c the implementation and it time in math is in the best of a human environment in math is in the best way of being in math is in the best of the world to present the implementation and the implementation and the implementation and the implementation and the implementation and,us,Google Play
Cool game and very beginner friendly.,fr,Google Play
Very simple,fr,Google Play
good game i like it yaa ya ya,de,Google Play
good,fr,Google Play
funny card game I enjoy,de,Google Play
good for wasting some free time,fr,Google Play
So much fun!,us,Google Play
good,de,Google Play
gambling for kids,fr,Google Play
very fun and a home like game I LOVE OT,fr,Google Play
"my friend and I enjoys this a lot, less expenses from physical cards now",de,Google Play
Im not finding the token 0😒😏😏,de,Google Play
Pokémon,fr,Google Play
"Fun and really exciting, this is a good Pokémon TCG game after the gameboy",de,Google Play
Interesting,de,Google Play
brilliant if you want to collect without money,us,Google Play
This game is fun but doesn't have much to do only battling and drawing cards BUT it is super fun lots of cool cards to draw and using skills to battle can't wait until trading comes out and when they add more cards. I wish they add like another thing other then battling and drawing cards. W game hasn't even been a day since this game was made and I have a feeling this game is going be super good,fr,Google Play
The interface is clean! I downloaded it today and am enjoying it so far! looks promising,us,Google Play
Ew,fr,Google Play
Fun and free way to open Pokemon cards. Got a few exciting ones already!,fr,Google Play
love it!,fr,Google Play
its good game fr,us,Google Play
Gunna be a pay to play game.......,de,Google Play
Battling is way too luck based,fr,Google Play
I like gambling,fr,Google Play
"I originally gave 5, it's fun and reminds me of duel links... I decided to use play points to purchase the 15 dollar exchange. Got into the game and there's nothing to purchase with it...either that or it's not clear at all where I go to use this. I guess if there's a way to highlight in the app what we can use this on...not sure why you'd offer it if there was nothing to redeem it on. I'll reach out to help but till I get to use that 15 dollars 2 stars",us,Google Play
hype,us,Google Play
This game makes us remember our nostalgic days,fr,Google Play
I always wanted to be a pokemon tcg collector but don't have the money to buy cards now this game gives me a chance to be a collector even if it's virtual cards thank you so much I love this game 🇵🇭🇵🇭❤️❤️❤️,fr,Google Play
good game,us,Google Play
"I don't do reviews normally but I have to say that I was so hyped I pre registered and now after playing it .. it's super cool , the visuals are top notch, I have binders and I'm showcasing my fav cards which is a new thing in tcg games ,and I'm waiting for the next big thing TRADES .. I'm so hyped for that update I hope they release it soon. It's just super fun 😊",us,Google Play
fun fun fun,us,Google Play
Scratches that ich you know,de,Google Play
Very boring and poor game. No thought has gone into it and it just wants you to spend money. There is absolutely no objective to this except wasting your life,de,Google Play
love it. Just like the real game but cooler,us,Google Play
awesome I'm loving it,de,Google Play
"It's great but a lot of things need to be fixed. The daily quests should start based on the timezone of the players and not based on a single fixed time. I can't just wait until evening to play this game so I can have my rewards! Also, when I click on the tabs, it takes 3 seconds to open.",fr,Google Play
"just encountered a pretty decent graphical glitch when opening a Mewtwo pack, It'll take me to the cards where I can choose between ALL of the packs. it'll let me spin it once but then the screen absolutely freaks out and flashes so EPILEPSY BE WARNED. the game is great so far, low review only for the graphical issue I've mentioned, other than that the game is so far without flaw.",de,Google Play
PvP is full of people with ultra rare cards even in the beginner category. It's a grind to get the good cards even with premium pass. I don't recommend spending money on this game as I did.,fr,Google Play
Not suitable for Free Players,de,Google Play
horrendous rng garbage,fr,Google Play
good,fr,Google Play
Fun and non PTW game,de,Google Play
good,us,Google Play
"TCG but theres still NO TRADING, also you can only get 4 hourglass daily but theres 5 quest, its so annoying... i cant even play any decent deck cause i cant complete an evolution line properly...",de,Google Play
"Most unbalanced card game that has ever been made. Imagine your Charmander getting beaten by 2 Mewtwo. First turn is always a losing turn, if you are first just surrender. I mean it is understandable considering this is the same company that made pokemon unite lol",de,Google Play
I love the game so far. I just wish the time between pack openings wasn't so long.,de,Google Play
"Enjoyable but 2 major frustrations i have is that the energy selection will give me 4 fighting in a row when I have only one fighting type and 2 or 3 water types in my hand or in play, its literally unfair to anyone who plays 2 types. And not getting an energy turn 1 makes it feel like your not going first at all, you already can't attack turn one in the base game so just keep it that way.",us,Google Play
"Un juego que ironícamente busca que un juegue menos, con prácticamente nulo contenido, misiones diarias que se completan casi al abrir la aplicación. Esta bien como juego de cartas para coleccionar, pero se ve muy limitado a que hacer dentro del propio juego.",us,Google Play
Its only good at start It gets boring You need money to enjoy it Pay to gamble to get a good cards,de,Google Play
Love the experience from TCG online to a portable experience! So far so good and has good variety as of now keep it up pokemon hq!,de,Google Play
really fun ngl,us,Google Play
"Won't let me buy anything from shop, has so much potential but will not rate 5 stars until it works fully",us,Google Play
mast hai,fr,Google Play
it good.,de,Google Play
its fun,de,Google Play
Your autobattler ruined a perfect streak by being too close to the end turn button and hot swapping a snom with no energy in a situation where switching was bad. Take this 1 star.,de,Google Play
superb game! reminds me of my childhood but in the future.,de,Google Play
It's okay for being a pokemon version of yugioh duel links...overall the app itself feels bare bones and unexciting to use.,fr,Google Play
"Pokemon TCG Pocket centers around collecting cards. I mean duh, what else would you be doing? I think as a supplemental experience to the real thing it does it's job well to entice you to collect more cards. After all, you want those sweet sweet rewards right? My only problems with this game is the regions represented in TCG Pocket, and the lack of interaction with friends. Overall, TCG Pocket is a fun way to collect cards without breaking the bank. Gotta collect them all! Battles are fine btw",us,Google Play
Game black-screens and constantly flickers as soon as it starts. Unplayable for me.,fr,Google Play
"You know people like me with a degree in law are going to really enjoy suing you guys. I have a biometrics app that will prove your app doesn't work right on my phone and many others. No matter what you try I cannot tear packs. 1 of 100 trys are successful. If someone were to break their phone due to say rage quitting because of your malfunction, you are actually held liable as stupid as it sounds. Last review was left unanswered. Hopefully now you'll get back to me with a resolution.",de,Google Play
Stuck in a loading screen for over 10 mins tried to uninstall and reinstall now all my progress is gone,us,Google Play
amazing,de,Google Play
"Decent card collector, terribly balanced card game",us,Google Play
love it,fr,Google Play
this shoulda been out,us,Google Play
"Awesome game, with just a little flaw and a few things missing. 1. The timers on battles are too long. 90 secs is too much. 45 would be great. Some players intentionally stall to the last second to annoy their opponent. If you can't figure out your play in 45 secs or less, then practice in solo. 2. Lack of communication system Really? A pvp game where you can't communicate with friends? 3. AT LEAST add a battle invite button on friends' profile!",de,Google Play
"started give newtwo, is a good game",fr,Google Play
"Blown away by the game, i love it",us,Google Play
"Solo is boring, pass too expensive for only one miserable booster, gamification everywhere, few things to do. Last TCG game was so much better. Disappointed. If you want to lost time and money, play it.",us,Google Play
this game is BEAUTIFUL. nostalgia in full affect,de,Google Play
Reallt clean interface but not loads to do until you've collected cards which will obviously come with time. Overall a chill pokemon collecting game🤣,us,Google Play
Good game,de,Google Play
"Fun game to pass time. However there are two problems. When I open a booster pack the screen glitches and there stretched and completely disfigured pokemon packs that makes it impossible to tell whats happening, I can confirm that it is nothing to do with my device or internet connection. Also, it is really hard a new player to do battles as high level players abuse the beginner pvp with thier cards while absolutely dominating 100% of the time against new players. Overall, fun game. Needs work.",us,Google Play
"Gets boring quick. After a while of opening packs, it's 99% old cards. Events don't give anything special. Battling is not fun, people forfeit at the first bad flip, etc. What's the point of having a limit of hourglasses you can unlock a month?? Having to wait a month for more packs is not a smart strategy to keep players engaged, Daily missions can be done in literally 15 sec, wish they gave bonuses for each day you do them in a row. Fun but can be way better!!",de,Google Play
EXCELLENT,de,Google Play
love it!!!!,us,Google Play
"im not hoky in this game, sorry",de,Google Play
Great!,de,Google Play
funn!!!,fr,Google Play
Amezing,us,Google Play
pretty fun,us,Google Play
This is best 😁,de,Google Play
ghjk ஹிக்க்க,us,Google Play
"I don't play much of the TCG of Pokemon, but after my friend got me into the original one it's pretty fun, despite how slow it's going I'm loving it, I blame my phone not the app :P",fr,Google Play
a great game! but please repair the bug / glitch that crash the app when our internet connection is bad,us,Google Play
"Battle experience sucks. Especially to those players who just afk midmatch when they're about to lose. The opponent's timer already is at 00:00 and the match didn't even end. I waited way too long. And I just switched window for 5 SECONDS to chat and when I got back, I'M the one who got the error message ""did not return on match on time so it's considered a loss (something a long those lines). Bro what?",us,Google Play
EEVEE!!!,de,Google Play
Just started playing and it seems nice so far!,us,Google Play
13 different wonder picks for an EX card each time and only got one of them. Even for free this just feels awful and would not recommend to anyone.,us,Google Play
Nice,us,Google Play
Worst battle system ever. Either don't battle after 5 pvp matches or spend a few hundred. The only way to compete,us,Google Play
Honestly loving this game. I missed playing BASIC pokemon. Not all the fancy stuff the card game has today. It's super easy and straight forward. Really looking forward to when they add in more cards.,fr,Google Play
having to wait to play always sucks lol,fr,Google Play
Ufff best game!! 👌🏼,de,Google Play
This is wicked cool! I know it's brand new but. WOW,de,Google Play
"it's genuinely fun. it's a nice and comfy game. Yo, give it a try if you're reading this review.",us,Google Play
"It's ok, too simple and no real skill expression, all decks are loaded with the same ex cards. Most games are won or lost on the second turn. And the coin flip mechanic is broken. I was really expecting more.",us,Google Play
"The app wouldn't even let me play, after entering the app and I tried to pick my birth month the app crashes, really looking forward on using this app but I can't, imma wait until this is fixed.",us,Google Play
great,us,Google Play
"Great concept and adaptation of the game and tcg experience, but every action and every screen takes so much time to do or navigate through, it's exhausting. To open 1 pack of cards you go through 4 different screens. Surely this isn't needed?",us,Google Play
omg,us,Google Play
Really nice game and i was waiting for this game since ages as it was only available in pc and not in mobile,us,Google Play
ooooh. nice.,de,Google Play
I'll give it a 3 i like the game but the turn base is not very balance first of all if you got first that unlucky for you because getting first is: you can use your trainer and items cards but you can't not attack or put an energy to your pokemon but if you get second: not only you can use trainer and items cards you can also attack and put an energy to your pokemon getting second is a big advantage but being first is just unlucky change this like if your first you can put the first energy,us,Google Play
I pulled a cop card ngl,fr,Google Play
"About Matchmaking: 1) Terrible matchmaking; the game should be design to battle with your same league or level. But most of the time, we encountered advance leveled players than us. 2) Low Compensation/XP rewards; there is no difference even you are in the so-called ""Beginner"" or ""TCGP Player"" category. It always give you the 15 XP rewards when you've won. 3) Long Loading Time 4) The waiting time for booster pack and wonder coins are so long. 24 hours is unjustifiable.",de,Google Play
Having fun. The only issue I've run across is that I'm unable to claim the Thanks gift after a match. Repeatedly states that there is nothing to claim. Only have this issue with the Thanks gift.,fr,Google Play
"Might be a fun game, but I wouldn't know as it crashed each time I tried to play it and couldn't even get past the screen where it asks for my birthdate.",fr,Google Play
nice i learned a lot i play the rpg but this is good too,us,Google Play
grip it and rip it,us,Google Play
"Good game. Childhood memories. Maybe im the future, you guys can include chat features in the game. And hopefully you guys can change the flip coins (where we can flip the coins all by myself instead of letting me flip the coin for the first time only). This game definitely is paid to win. Disappointed",fr,Google Play
so beautiful artistically and I'm so excited for where the game will go.,de,Google Play
awesome card game,us,Google Play
"There's like 225 cards right now. You'll see 5 of them. Ralts line, and Mewtwo EX, or Pikachu EX. That's the ONLY decks people use. The EXs they added just make the game whoever draws their basic EX first, wins. No basic cards have HP that can tank a hit from most EXs that need 2 energy. There's no Pokémon or items to disrupt your opponents energy either, meaning once they have it, it's over. This game would be 1000x better with modes that allow you to lockout types, or battle without EXs.",fr,Google Play
If you don't wanna spend money don't bother. Basically pay to win. Disappointed as heck with this garbage.,de,Google Play
Fun game to pass some time and grow a collection!,fr,Google Play
Cobnm,de,Google Play
"Garbage Rules makes this a garbage game. Not getting to attach energy on the first round is a massive handicap that you get by going first. There needs to be something to make up for it, unless you're playing a super specific build you might as well just concede if you go first. Fix this, either by allowing the person who goes first to not attack first round but still attach energy or by getting an extra energy on their second or third turn.",fr,Google Play
It's super fun just a little lagy for my device,us,Google Play
it boke \,fr,Google Play
free ability to rip random packs. sure.,de,Google Play
Amazing!,us,Google Play
addicting,de,Google Play
perfect game for Pokemon lovers,fr,Google Play
"Need a way to report people Ran into a person with the name ""Hail Hitler"" as a name. Common you can do better... No reporting system??",de,Google Play
Kevin mom,de,Google Play
highly enjoyable I love it,us,Google Play
Overall it's a great card game to have if you enjoy Pokémon!!!,fr,Google Play
"Appeases my urge of opening packs, I get hyped when I see a rare card in a booster pack.",de,Google Play
"App froze on account link, after restarting I get new sign up stuff again, won't let me create new save data with my account so I have to choose transfer existing, app restarts after that and brings me to sign up stuff again so currently stuck in a loop.",us,Google Play
"Really like it because I've always wanted to play a pokemon game where you can collect cards, plus you can use them in battle too, which is really nice. Although we only have 1 deck so far, I still think it's enough for now.",fr,Google Play
good bro,de,Google Play
Very interesting and good game,fr,Google Play
-And now collector's items can be useful!,de,Google Play
The won't open. Every time I open it the screen turns black and the game crashes,fr,Google Play
"clean UI, responsive, beautiful, easy to understand, and a little fun... monetization fairness as of yet undecided. be wary, but this looks good",us,Google Play
"The only thing this game will be good for is opening one pack a day to digitally collect cards, unfortunately like all aps the pay wall takes out the enjoyment in the battle aspect of the game. There is no match making, my first couple of matches I was up against players twice my level, also players that had already got the big hits, my bulba had no chance against moltres and zards. They need to make big changes to the game or players will give up on it.",fr,Google Play
good 2 hours in but you can tell the pay to win is going to be real once new packs drop,fr,Google Play
op,fr,Google Play
"Losing to luck is not right. This game defies probability with the amount of times I will flip tails consecutively. Also, I suspect that card presentation is determined ahead of time prior to every match starting. I've noticed I will get matched with opponents I stand little to no chance, with an order to my cards that are anything but desirable, praying on Zaptos to come out with only to flip 4 tails when I have enough energy, if I haven't been curbstomped by then. Why pay for this?",de,Google Play
"A few issues: 1: Going first feels awful. Win the coin flip, lose the game. Traditionally being first in Pokemon meant you could not attack. That's fair but not being about to attach an energy. Going 2nd is stronger by far. 2. Boring meta. 2 decks are good 4 decks are alright. Everything else is garbage. Why even have the other cards. 3. Budget decks are bad. The best decks have the rarest cards. TCG is always p2w but this is extreme. 4. Solo is fun, but not plentiful Needs updates.",de,Google Play
nice game,us,Google Play
Awesome so far.,us,Google Play
way better than pokemon tcg live. by 10 years better,fr,Google Play
"sure the game is buggy, but at the start it's quite likable, easy to get, ui is nice enough, at the start you get enough of the item to make you play it for a whole lot of time, it needs some fixes and optimizations for low end phone ofc, but in my opinion it's good for the people who can't buy cards(in india they don't have cards in store), plus it doesn't seem like a hard grind game to me... I just started it so that's my""opinion"" for now, decent job brothers and devs",us,Google Play
Good Game ! You should try it ❤️,us,Google Play
"Pretty fun but going first in this game is absolutely terrible, you don't get to attach any energy the player who goes first kind of just gets hit for free.",us,Google Play
a very gd game,us,Google Play
This game repeatedly crashes on my device. Please fix,de,Google Play
there are some issues with fjkuf jii to the treasure valley of the treasure of the treasure of the treasure y y y y gydju and bottom end up and all the happiness and happiness in the treasure of the treasure of the treasure of the treasure of the treasure of the treasure of the treasure of the treasure of the treasure of the y y y y you you are not a C NO one,fr,Google Play
nice game,de,Google Play
After it opens it Crashes every time :(,us,Google Play
"Great, but please increas turn limit! Very fun app, but the 30 turn limit is too low in my opinion, it should at least be raised to around 45-50. There are very fun and interesting games that do reach the 30 turn limit that wouldve decisively concluded if allowed a few more turns",us,Google Play
Really nice game,us,Google Play
"Looks really great and a lot cool mechanics but there doesn't seem to be a point to battling, and the matchmaking is pretty unbalanced. A level 7 shouldn't be paired up with a lvl 20 who has legendary birds and a bunch of other high level cards in ""beginner"" lol",us,Google Play
"As many have stated, the game is nostalgic and it's fun to collect cards and battle! I just wish the battling wasn't so bad. Going first has a severe disadvantage, so much so, some people won't even play if they're going first. At least allow energy to be played. The much bigger problem is the mechanics of game play. They changed so many rules yet did nothing to adjust the cards themselves. Cards need to be nerfed or it needs to take more points to win. I also hate how energy is guaranteed.",fr,Google Play
it's really good I'm pleased with the cards makes me happy,fr,Google Play
Worst game when i download this game it says server aucation failed i cleared the cache it wont work please fix this problem🤦,fr,Google Play
amazing game. simple classic battles,us,Google Play
"very good games , i love it",fr,Google Play
It's what I expected. Nothing terribly wrong with it.,de,Google Play
"I'm not sure how to feel. The presentation and art are great, but battling other players has been all over the place. Don't think I had a single game that felt balanced.",de,Google Play
nice👍👍👍👍👍,fr,Google Play
"Good game. Childhood memories. Maybe im the future, you guys can include chat features in the game. And hopefully you guys can change the flip coins (where we can flip the coins all by myself instead of letting me flip the coin for the first time only). This game definitely is paid to win. Disappointed",us,Google Play
I'm will not leave the game,us,Google Play
I love how the traditional game of the pokemon tcg is coming to life through visual effects. But i think the rewards for winning a pvp should be more other than XP. It gives a better expections of what we can have when we win a PVP.,fr,Google Play
Is beutteful,us,Google Play
good,us,Google Play
Very fun 😁,us,Google Play
Definitely scratches the itch from opening packs has me wanting to go buy more pokemon cards!,fr,Google Play
I LOVE GAMBLINGG ‼️‼️‼️‼️‼️,us,Google Play
Its good and fun lots of pokemons to draw from a pack. My only wish is to add more kinds of pack or have specific packs for each specific types of pokemon,de,Google Play
pulled pokimane,de,Google Play
"Great game that only lasts one day. Once unlocked all the solitaire matches, there is no point in entering more than 1 minute a day to collect the daily booster. This is because there is little incentive to play matches -> no ranked system, nothing if you lose and only 15exp if you win",de,Google Play
It's a decent game when it doesn't crash constantly,de,Google Play
fun,fr,Google Play
good cards game,de,Google Play
mindless fun,fr,Google Play
ui is boring and the music is awful.,fr,Google Play
"Giving it 3/5 rating until I have played a match. I really like the new interface with multiple boosters ,3, types then picking a booster pack from the same group ,8, for a realistic feel that you are truly opening a random booster. wanting to open a starter box and experience a battle.",fr,Google Play
fun,de,Google Play
Game is not starting The game opens but nothing appears just the opening home screen It was fine yesterday Tried clear cache also tried re-installing but not working,fr,Google Play
good game,de,Google Play
Needs more stuff to do very bare bones,de,Google Play
COULDN'T BE MORE HAPPIER 😭😭,de,Google Play
hehehehehehe,fr,Google Play
"Game won't start, get authentications error despite multiple attempts to re install.",fr,Google Play
It's fun!,us,Google Play
Nice app,de,Google Play
So far the game's been fun 😊,us,Google Play
Pulled a charizard immersive. probably the coolest card I've ever owned in all pokemon,fr,Google Play
Awesome App,us,Google Play
Wouldn't let me choose my age then the app closes stops working,us,Google Play
"good game, bring some events and other methods to get rewards and to make it more engaging",fr,Google Play
"game bagus, power seimbang, tapi kurang kegiatannya seperti turnament, event, ranked,",us,Google Play
"I love this app, but the pack opening screen glitches out horribly and won't let me open any to the point where I have to close the app every time I open a pack. I tried opening ten at once and it caused my phone to lag and crash. It didn't do this when I first started playing, only the day after and onward.",fr,Google Play
love it,us,Google Play
"I was excited for the release of this game but it has let me down. There are two types of people this app would appeal to, collectors and pvp enthusiasts. As a pvp player you have a reason to return daily as battling is a constant activity. If you are here for collecting, aside from the initial beginning, you are limited to 1 to 2 packs daily unless you spend real money. As a one who enjoys the collecting aspect of tcgs, there isnt much to keep me excited.",us,Google Play
gambling for kids,de,Google Play
napasigaw kami kay bulbasaur,de,Google Play
fun,us,Google Play
I can't even put my birth date before it crashes. I don't have an old phone to excuse that kind of thing happening. Please fix it.,us,Google Play
games is awesome,fr,Google Play
Awesome 👌,de,Google Play
Peak,us,Google Play
Becomes increasingly difficult to obtain the cards and battle the p2p players being an f2p.Heavily luck reliant on coin flips and drawing cards .,de,Google Play
Seems Super cool and streamlined for new players and veterans alike.,us,Google Play
"Beautiful graphics, fast-paced gameplay, and an intuitive interface make Pokémon TCG Live a must-play! Matches are visually dynamic and super addictive. I'd love to see two features added: limiting conceding to a player's own turn to stop rage quits and adding emoji reactions for more social fun. Overall, an awesome experience, and I can’t wait to see what’s next! 🎉🔥",de,Google Play
good game,us,Google Play
I like this!,us,Google Play
Peak game,de,Google Play
Ver gut 😁,us,Google Play
I'll go hard 🔥🔥🔥❤️❤️❤️,de,Google Play
hmmmm alright,fr,Google Play
im enjoying,fr,Google Play
"The RNG in this game is absolutely broken, the gameplay part of this game is rigged from the start, using double energy decks means you have the chance of being energy locked, and most of the cards use coin toss",us,Google Play
The screen on my game keeps messing up to where I can't play the game. plz fix,us,Google Play
fun so far 🤔,fr,Google Play
Best game I have ever played. definitely try it out if you are a Pokemon fan.,de,Google Play
It just sucks,fr,Google Play
Op,de,Google Play
"Game is still new, not much to do unless you want to spend real money.",fr,Google Play
"I didn't see a feedback option within the app, so I'll post it here. I think going first in a battle should be fixed by allowing you to attach Energy; as it stands, going first has zero advantages and is only a pure disadvantage, except in the very specific circumstance where you run Misty. Other than that, if you go first, you actually wind up an entire turn behind your opponent, who can attach Energy, attack, prepare for evolutions/retreating the next turn, and so forth. It's a bit frustrating",fr,Google Play
"Seems promising but has an awful bug when trying to open packs, it's lags out and the screen is constantly tearing. Hope to see this fixed so I can open more packs",de,Google Play
Can't get payduck,fr,Google Play
ilovee it,de,Google Play
Terrible odds misty is absolutely broken 100 games and 4 positive head flips and cubone is the same out come it's never in my favor it's obvious when it's the same outcome game after game the coin flip is broken and makes me not wanna play the game and when I play decks that requires 3 cards like machamp I never get the cards required to build smh maybe it's just me,de,Google Play
we love Mayor Bing!,us,Google Play
good card game,us,Google Play
"Coin flip the game, if that's your thing, go for it.",fr,Google Play
Bro I think I got a morawack ex in my first pack:),fr,Google Play
I like is simple af,de,Google Play
"Love the game but we really need more options of booster packs, it shouldnt be that hard to do so idk why they havent done it. And they really need to remove the amount of sceen pop ups after you pull some cards. There is no reason i need to, open the pack/swipe through the cards, look at the cards i got, look at the new cards, put the cards in the binder. I just want to open the cards and look at the new ones nothing else.",us,Google Play
cool,de,Google Play
"Illegal personal data collection, with a broad sweeping ""terms and service"". Why do we have to give up ALL of our rights to use anything (directly) from Nintendo? Please respond if there is ANY way to play without ""agreeing"" to your absurd terms (besides getting a modded apk of it off of the internet of course).",de,Google Play
amazing! visually stimulating,us,Google Play
This is the only game that got to play on my phone again,us,Google Play
"The game is fun, but after the ""honeymoon"" period it drops off dramatically. Also the ""expert"" battles on the card drops are so obviously rigged, it's a joke. The RNG isn't a fair RNG and is massively stacked in the AI favor. Fun for a bit, but won't last",fr,Google Play
Completely pay to win game made fore streamers/wealthy people the combat is janky and super one sided every battle and theres very limited ways to get more cards apart from going through the pay wall will continue playing but only to log on each day and open a single pack. Very disappointed.,de,Google Play
Term of use and privacy don't load crashes the phone ui constantly unplayable on my phone,fr,Google Play
Cool,us,Google Play
👍,fr,Google Play
card open for free,de,Google Play
"Very cool app! The poor man's Pokemon tcg, I want more cards",us,Google Play
"Fun game overall, great for collecting cards, but only ok card battler. Pokémon has always had the best TCG art imho. The battles are fast but there are only a few cards that allow for a more complex strategy than rushing your strongest mon and hitting your strongest attack. Better match history would be nice and Thank You rewards incentivize loosing since seemingly few people want to thank the person that just beat them.",fr,Google Play
game mechanics are complete trash,us,Google Play
